epoch,eval_loss,eval_accuracy,eval_f1_macro
1,0.6857261657714844,0.4722222222222222,0.32075471698113206
2,0.6850550770759583,0.4722222222222222,0.32075471698113206
3,0.686650276184082,0.4722222222222222,0.32075471698113206
4,0.6868083477020264,0.4722222222222222,0.32075471698113206
5,0.6886643171310425,0.4722222222222222,0.32075471698113206
6,0.6858255863189697,0.4722222222222222,0.32075471698113206
7,0.6850377321243286,0.4722222222222222,0.32075471698113206
8,0.6863023638725281,0.4722222222222222,0.32075471698113206
9,0.6855529546737671,0.4722222222222222,0.32075471698113206
10,0.6857515573501587,0.4722222222222222,0.32075471698113206
