epoch,eval_loss,eval_accuracy,eval_f1_macro
1,0.8459140062332153,0.625,0.6111094373423229
2,0.888577938079834,0.6651785714285714,0.6606795753473002
3,0.9794391989707947,0.6607142857142857,0.6435870085898302
4,0.8747315406799316,0.7098214285714286,0.7001294745889749
5,0.9093437194824219,0.7276785714285714,0.716468043740771
