epoch,eval_loss,accuracy,f1,precision,recall
0,0.03756334260106087,0.991635687732342,0.9916531505653499,0.9918436402472838,0.991635687732342
1,0.004282665904611349,0.9972118959107806,0.9972118959107806,0.9972145212019412,0.9972118959107806
2,0.00043500654282979667,1.0,1.0,1.0,1.0
3,0.0009017499396577477,0.9990706319702602,0.9990706282305067,0.9990732573036776,0.9990706319702602
4,0.0014145401073619723,0.9990706319702602,0.9990706282305067,0.9990732573036776,0.9990706319702602
5,0.00218114978633821,0.9981412639405205,0.9981412564610583,0.9981517652741899,0.9981412639405205
6,0.008546766825020313,0.9990706319702602,0.9990706282305067,0.9990732573036776,0.9990706319702602
7,0.007517695892602205,0.9990706319702602,0.9990706282305067,0.9990732573036776,0.9990706319702602
8,0.002596390200778842,0.9990706319702602,0.9990706282305067,0.9990732573036776,0.9990706319702602
9,0.0005807394627481699,1.0,1.0,1.0,1.0
10,0.001468194299377501,0.9990706319702602,0.9990706282305067,0.9990732573036776,0.9990706319702602
11,0.001480810926295817,0.9990706319702602,0.9990706282305067,0.9990732573036776,0.9990706319702602
12,0.00043500654282979667,1.0,1.0,1.0,1.0
