epoch,train_loss,val_loss,val_acc,val_f1,secs
1,1.1058950726495405,1.0546087449596775,0.4475806451612903,0.3957390645681714,8.321032524108887
2,0.967903022275587,0.7994873075075047,0.6438172043010753,0.640016329812317,3.945207357406616
3,0.7307606694515812,0.6422253058802697,0.7352150537634409,0.7358478341002521,3.8628182411193848
4,0.6051729456944899,0.5823730534763747,0.760752688172043,0.7607563140782524,4.023102760314941
5,0.5240416977928871,0.5429513776494611,0.7701612903225806,0.77092089192459,3.88162899017334
6,0.4543561963052556,0.5330082530616432,0.793010752688172,0.7933661637634595,3.871135950088501
7,0.41180751675909216,0.5197710258665905,0.8064516129032258,0.8059393232235538,3.821392059326172
8,0.38083604284735956,0.569304978174548,0.8145161290322581,0.8144615384610353,3.7998313903808594
9,0.34855561804596746,0.5966847098322325,0.8091397849462365,0.8076703479828174,3.7684195041656494
10,0.32590474427174154,0.6344486915616578,0.8185483870967742,0.8179840967757087,3.8155951499938965
11,0.30970270182206583,0.6596182145739115,0.8077956989247311,0.8074387582109308,3.798787832260132
12,0.28676640783195967,0.6706343553559755,0.8239247311827957,0.823601078833368,3.7732994556427
13,0.26049070658538775,0.7315268130342085,0.8172043010752689,0.8169133777512695,3.790574550628662
14,0.2628596202658632,0.7096458341806166,0.8225806451612904,0.8220008038205879,3.836656093597412
15,0.23138354567846542,0.810166037931878,0.8158602150537635,0.8158424446966208,3.9875028133392334
16,0.2388807683692951,0.7636595124038317,0.8225806451612904,0.8218882450826674,3.8137452602386475
17,0.234449808485249,0.7639570532627004,0.8239247311827957,0.8233843242644405,3.77762508392334
